make,model,badge,category,displacement_cc,year,power_hp,engine,cooling,gearbox,transmission,dry_weight_kg,seat_height_mm,fuel_capacity_l,wheelbase_mm
Kawasaki,Z 550 GT,,Touring,553,1990,50,In-line four,Air,6-speed,Shaft drive,,,22,
Kawasaki,Z 550 GT (reduced Effect),,Touring,553,1988,27,In-line four,Air,6-speed,Shaft drive,,,22,
Kawasaki,Z 550 GT (reduced Effect),,Classic,553,1989,27,In-line four,Air,6-speed,Shaft drive,,,22,
Kawasaki,Z 550 GT (reduced Effect),,Touring,553,1990,27,In-line four,Air,6-speed,Shaft drive,,,22,
Kawasaki,Z 550 LTD,,Sport touring,553,1980,50,In-line four,Air,6-speed,Chain,,,13,1450
Kawasaki,Z 550 LTD,,Classic,553,1981,50,In-line four,Air,6-speed,Chain,,,13,
Kawasaki,Z 550 LTD,,Sport,553,1983,50,In-line four,Air,6-speed,Chain,,,13,
Kawasaki,Z 550 Sport,,Classic,553,1983,50,In-line four,Air,6-speed,Chain,,,18.5,
Kawasaki,Z 550 Sport,,Classic,553,1984,50,In-line four,Air,6-speed,Chain,,,18.5,
Kawasaki,Z 550 Sport,,Unspecified category,553,1985,50,In-line four,Air,6-speed,Chain,,,18.5,
Kawasaki,Z 550 Sport,,Unspecified category,553,1986,50,In-line four,Air,6-speed,Chain,,,18.5,
Kawasaki,Z 650,,Sport touring,652,1976,66,In-line four,Air,5-speed,Chain,,,16.5,
Kawasaki,Z 650,,Sport touring,652,1977,66,In-line four,Air,5-speed,Chain,,,16.5,
Kawasaki,Z 650,,Touring,652,1978,66,In-line four,Air,5-speed,Chain,,,16.5,
Kawasaki,Z 650 C,,Classic,652,1978,66,In-line four,Air,5-speed,Chain,,,16.5,
Kawasaki,Z 650 C,,Naked bike,652,1979,66,In-line four,Air,5-speed,Chain,,,16.5,
Kawasaki,Z 650 F,,Touring,652,1982,67,In-line four,Air,5-speed,Chain,,,16.5,
Kawasaki,Z 650 F,,Naked bike,652,1983,67,In-line four,Air,5-speed,Chain,,,16.5,
Kawasaki,Z 650 LTD,,Classic,652,1978,65,In-line four,Air,5-speed,Chain,,,16.5,
Kawasaki,Z 650 SR,,Sport touring,652,1979,65,In-line four,Air,5-speed,Chain,,,14,
Kawasaki,Z 650 SR,,Touring,662,1980,65,In-line four,Air,5-speed,Chain,,,14,
Kawasaki,Z 650 SR D-4,,Touring,652,1982,61.7,In-line four,Air,5-speed,Chain,235,,,1440
Kawasaki,Z 750,,Super motard,745,1976,50,Twin,Air,5-speed,Chain,,,14.5,
Kawasaki,Z 750,,Touring,745,1977,50,Twin,Air,5-speed,Chain,,,14.5,
Kawasaki,Z 750,,Classic,745,1978,50,Twin,Air,5-speed,Chain,,,14.5,
Kawasaki,Z 750,,Touring,745,1979,50,Twin,Air,5-speed,Chain,,,14.5,
Kawasaki,Z 750,,Sport,739,1980,77,In-line four,Air,5-speed,Chain,,,22,
Kawasaki,Z 750,,Sport,736,1981,78,In-line six,Air,,Chain,,,,
Kawasaki,Z 750,,Naked bike,748,2004,,In-line four,,6-speed,,,,,
Kawasaki,Z 750,,Naked bike,675,2006,50,In-line four,Air,6-speed,Chain,195,,,
Kawasaki,Z 750,,Naked bike,748,2011,104,In-line four,Liquid,,Chain,226,815,18.5,1440
Kawasaki,Z 750 GT,,Naked bike,739,1982,78,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT,,Sport touring,739,1983,78,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT,,Touring,739,1984,78,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT,,Touring,739,1985,78,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT,,Classic,739,1986,78,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT,,Classic,739,1987,78,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT,,Sport touring,739,1988,78,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT,,Touring,739,1989,78,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT (reduced Effect),,Unspecified category,739,1988,49,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 GT (reduced Effect),,Unspecified category,739,1989,49,In-line four,Air,5-speed,Shaft drive,,,24.5,
Kawasaki,Z 750 L,,Sport touring,739,1981,77,In-line four,Air,5-speed,Chain,,,22,
Kawasaki,Z 750 L,,Sport,739,1983,78,In-line four,Air,5-speed,Chain,,,22,
Kawasaki,Z 750 LTD,,Allround,739,1980,74,In-line four,Air,5-speed,Chain,,,13,
Kawasaki,Z 750 LTD,,Sport touring,739,1981,74,In-line four,Air,5-speed,Chain,,,13,
Kawasaki,Z 750 LTD,,Classic,739,1982,74,In-line four,Air,5-speed,Chain,225,,13,
Kawasaki,Z 750 LTD,,Classic,739,1983,74,In-line four,Air,5-speed,Chain,,,13,
Kawasaki,Z 750 LTD Belt Drive,,Custom / cruiser,745,1983,49,Twin,Air,5-speed,Belt,,,10.5,
Kawasaki,Z 750 LTD Belt Drive,,Custom / cruiser,745,1984,49,Twin,Air,5-speed,Chain,,,10.5,
Kawasaki,Z 750 LTD Twin,,Custom / cruiser,745,1983,49,Twin,Air,5-speed,Chain,,,13,
Kawasaki,Z 750 R,,Naked bike,748,2011,104,In-line four,Liquid,,Chain,224,825,18.5,1440
Kawasaki,Z 750 S,,Naked bike,748,2005,,In-line four,Liquid,6-speed,Chain,195,815,18.16,1425
Kawasaki,Z 750 S,,Naked bike,748,2006,,In-line four,Liquid,6-speed,Chain,195,815,18.16,1425
Kawasaki,Z 750 Sport,,Sport touring,739,1983,80,In-line four,Air,5-speed,Chain,,,21,
Kawasaki,Z 750 Sport,,Classic,739,1984,80,In-line four,Air,5-speed,Chain,,,21,
Kawasaki,Z 750 Sport,,Unspecified category,739,1985,80,In-line four,Air,5-speed,Chain,,,21,
Kawasaki,Z 750 Sport,,Sport touring,739,1986,80,In-line four,Air,5-speed,Chain,,,21,
Kawasaki,Z 750 Turbo,,Sport,739,1984,100,In-line four,Air,5-speed,Chain,,,18,
Kawasaki,Z 750 Turbo,,Sport,739,1985,100,In-line four,Air,5-speed,Chain,,,18,
Kawasaki,Z 750 Turbo,,Sport,739,1986,100,In-line four,Air,5-speed,Chain,,,18,
Kawasaki,Z 750 Turbo,,Sport,739,1987,100,In-line four,Air,5-speed,Chain,,,18,
Kawasaki,Z 900,,Classic,903,1975,81,In-line four,Air,5-speed,Chain,230,813,18,1500
Kawasaki,Z H2,,Naked bike,998,2020,,In-line four,Liquid,6-speed,Chain,,831,18.93,1455
Kawasaki,Z H2,,Naked bike,998,2021,,In-line four,Liquid,6-speed,Chain,,831,18.93,1455
Kawasaki,Z H2,,Naked bike,998,2022,,In-line four,Liquid,6-speed,Chain,,831,18.93,1455
Kawasaki,Z H2 SE,,Naked bike,998,2021,200,In-line four,Liquid,6-speed,Chain,,831,19,1455
Kawasaki,Z H2 SE,,Naked bike,998,2022,,In-line four,Liquid,6-speed,Chain,,831,18.93,1455
Kawasaki,Z H2 SE Performance,,Naked bike,998,2021,197,In-line four,Liquid,6-speed,Chain,,831,19,1455
Kawasaki,Z1-B,,Naked bike,903,1976,82,In-line four,Air,5-speed,Chain,233,,18,1490
Kawasaki,Z1000,,Naked bike,953,2007,,In-line four,Liquid,6-speed,Chain,205,820,18.54,1445
Kawasaki,Z1000,,Naked bike,953,2008,,In-line four,Air,6-speed,Chain,,820,18.54,1445
Kawasaki,Z1000,,Naked bike,953,2009,127,In-line four,Liquid,6-speed,Chain,,820,18.54,1445
Kawasaki,Z1000,,Naked bike,1043,2010,,In-line four,Liquid,6-speed,Chain,,815,15.14,1440
Kawasaki,Z1000,,Naked bike,1043,2011,,In-line four,Liquid,6-speed,Chain,,815,15.14,1440
Kawasaki,Z1000,,Naked bike,1043,2012,,In-line four,Liquid,6-speed,Chain,,815,15.14,1440
Kawasaki,Z1000,,Naked bike,1043,2013,,In-line four,Liquid,6-speed,Chain,,815,15.14,1440
Kawasaki,Z1000,,Naked bike,1043,2015,142,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000,,Naked bike,1043,2017,142,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000,,Naked bike,1043,2018,142,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000,,Naked bike,1043,2019,142,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000,,Naked bike,1043,2020,142,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000,,Naked bike,1043,2021,140,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000 ABS,,Naked bike,953,2007,123,In-line four,Liquid,6-speed,Chain,205,820,18.5,1455
Kawasaki,Z1000 ABS,,Naked bike,1043,2014,,In-line four,Liquid,6-speed,Chain,,815,15.14,1435
Kawasaki,Z1000 ABS,,Naked bike,1043,2015,140,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000 ABS,,Naked bike,1043,2016,140,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000 R Edition,,Naked bike,1043,2017,142,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000 Special Edition,,Naked bike,1043,2013,,In-line four,Liquid,6-speed,Chain,,815,15.14,1440
Kawasaki,Z1000 Special Edition,,Naked bike,1043,2014,140,In-line four,Liquid,6-speed,Chain,,815,17,1440
Kawasaki,Z1000 Special Edition,,Naked bike,1043,2015,142,In-line four,Liquid,6-speed,Chain,,815,17,1440
Kawasaki,Z1000 Sugomi,,Naked bike,1043,2016,140,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000 Sugomi Edition,,Naked bike,1043,2017,140,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000 SX,,Sport touring,1043,2013,136,In-line four,Liquid,,Chain,,820,19,1445
Kawasaki,Z1000 SX,,Sport touring,1043,2015,136,In-line four,Liquid,,Chain,,820,19,1445
Kawasaki,Z1000 SX,,Sport touring,1043,2016,142,In-line four,Liquid,6-speed,Chain,,820,19,1445
Kawasaki,Z1000 SX,,Sport touring,1043,2017,142,In-line four,Liquid,6-speed,Chain,,820,19,1445
Kawasaki,Z1000 SX Tourer,,Sport touring,1043,2012,136,In-line four,Liquid,6-speed,Chain,,822,19,1445
Kawasaki,Z1000 SX Tourer,,Sport touring,1043,2015,140,In-line four,Liquid,,Chain,,820,19,1445
Kawasaki,Z1000 SX Tourer,,Sport touring,1043,2016,140,In-line four,Liquid,6-speed,Chain,,820,19,1445
Kawasaki,Z1000R Edition,,Naked bike,1043,2020,142,In-line four,Liquid,6-speed,Chain,,815,17,1435
Kawasaki,Z1000SX,,Sport touring,1043,2015,142,In-line four,Liquid,6-speed,Chain,,820,19,1445
Kawasaki,Z1000SX,,Naked bike,1043,2019,140,In-line four,Liquid,,,,815,17,1435
Kawasaki,Z1000SX Tourer,,Sport touring,1043,2015,140,In-line four,Liquid,6-speed,Chain,,820,19,1445
Kawasaki,Z125,,Naked bike,125,2017,9.4,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125,,Naked bike,125,2019,14.8,Single cylinder,Air,4-speed,Chain,,815,11,1330
Kawasaki,Z125,,Naked bike,125,2020,14.8,Single cylinder,Liquid,,Chain,,815,11,1176
Kawasaki,Z125,,Naked bike,125,2021,14.8,Single cylinder,Liquid,,Chain,,815,11,1330
Kawasaki,Z125,,Naked bike,125,2022,14.8,Single cylinder,Liquid,6-speed,Chain,,815,11,1330
Kawasaki,Z125 Performance,,Naked bike,125,2021,14.8,Single cylinder,Air,4-speed,Chain,,815,11,1330
Kawasaki,Z125 Performance,,Naked bike,125,2022,14.8,Single cylinder,Liquid,6-speed,Chain,,815,11,1330
Kawasaki,Z125 PRO,,Naked bike,125,2016,,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125 PRO,,Naked bike,125,2017,,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125 PRO,,Naked bike,125,2018,,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125 PRO,,Naked bike,125,2019,,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125 PRO,,Naked bike,125,2021,14.8,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125 PRO,,Naked bike,125,2022,,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125 PRO KRT Edition,,Naked bike,125,2017,,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125 PRO KRT Edition,,Naked bike,125,2018,,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z125 PRO SE,,Naked bike,125,2018,,Single cylinder,Air,4-speed,Chain,,805,7.57,1176
Kawasaki,Z1B Z900,,Classic,903,1976,82,In-line four,Air,5-speed,Chain,,,,
Kawasaki,Z250,,Naked bike,249,2014,32,Twin,Liquid,6-speed,Chain,,785,17,1400
Kawasaki,Z250,,Naked bike,249,2015,32,Twin,Liquid,6-speed,Chain,,785,17,1400
Kawasaki,Z250,,Naked bike,249,2016,32,Twin,Liquid,6-speed,Chain,,785,17,1400
Kawasaki,Z250,,Naked bike,249,2017,32,Single cylinder,Liquid,6-speed,Chain,,785,11,1330
Kawasaki,Z250 Special Edition,,Naked bike,249,2016,32,Twin,Liquid,6-speed,Chain,,785,17,1400
Kawasaki,Z250SL,,Naked bike,249,2015,32,Twin,Liquid,6-speed,Chain,,785,11,1330
Kawasaki,Z250SL,,Naked bike,249,2016,28,Single cylinder,Liquid,6-speed,Chain,,785,11,1330
Kawasaki,Z250SL,,Naked bike,249,2017,28,Single cylinder,Liquid,6-speed,Chain,,785,11,1330
Kawasaki,Z300,,Naked bike,296,2015,39,Twin,Liquid,6-speed,Chain,,785,17,1405
Kawasaki,Z300,,Naked bike,296,2016,39,Twin,Liquid,6-speed,Chain,,785,17,1405
Kawasaki,Z300,,Naked bike,296,2017,39,Twin,Liquid,6-speed,Chain,,785,17,1405
Kawasaki,Z300 Performance,,Naked bike,296,2017,39,Twin,Liquid,6-speed,Chain,,785,17,1405
Kawasaki,Z300 Special Edition,,Naked bike,296,2016,30,Twin,Liquid,6-speed,Chain,,785,17,1405
Kawasaki,Z400,,Classic,400,1978,,Twin,Air,,Chain,,,,
Kawasaki,Z400,,Naked bike,399,2020,45,Twin,Air,6-speed,Chain,167,785,14,1369
Kawasaki,Z400,,Naked bike,399,2021,45,Twin,Air,5-speed,Chain,,785,14,1369
Kawasaki,Z400,,Naked bike,399,2022,45,Twin,Air,5-speed,Chain,,785,14,1369
Kawasaki,Z550 LTD,,Sport,553,1982,50,In-line four,Air,6-speed,Chain,,,13,
Kawasaki,Z650,,Naked bike,649,2017,39,Twin,Liquid,6-speed,Chain,,790,17,1410
Kawasaki,Z650,,Naked bike,649,2019,67.3,Twin,Liquid,6-speed,Chain,,790,17,1410
Kawasaki,Z650,,Naked bike,649,2020,67.3,Twin,Liquid,6-speed,Chain,,790,15.14,1410
Kawasaki,Z650,,Naked bike,649,2021,67.3,Twin,Liquid,6-speed,Chain,,790,15.14,1410
Kawasaki,Z650,,Naked bike,649,2022,67.3,Twin,Liquid,6-speed,Chain,,790,15.14,1410
Kawasaki,Z650 ABS,,Naked bike,649,2018,39,Twin,Liquid,6-speed,Chain,,790,17,1410
Kawasaki,Z650 ABS,,Naked bike,649,2019,39,Twin,Liquid,6-speed,Chain,,785,15.14,1410
Kawasaki,Z650 Performance,,Naked bike,649,2021,67.3,Twin,Liquid,6-speed,Chain,,790,15,1410
Kawasaki,Z650L,,Naked bike,649,2020,50.7,Twin,Liquid,6-speed,Chain,,790,15,1410
Kawasaki,Z650L,,Naked bike,649,2021,50.7,Twin,Liquid,6-speed,Chain,,790,15,1410
Kawasaki,Z650L SE,,Naked bike,649,2021,50.7,Twin,Liquid,6-speed,Chain,,790,15,1410
Kawasaki,Z650RS,,Classic,649,2022,67.3,Twin,Liquid,6-speed,Chain,,800,15.14,1405
Kawasaki,Z750,,Naked bike,748,2007,106,In-line four,Liquid,6-speed,Chain,230,815,18.5,1440
Kawasaki,Z750,,Naked bike,748,2008,,In-line four,Liquid,6-speed,,207,815,18.5,1440
Kawasaki,Z750,,Sport,748,2009,104,In-line four,Liquid,6-speed,Chain,,815,18.5,1440
Kawasaki,Z750,,Naked bike,748,2010,,In-line four,Liquid,6-speed,Chain,226,815,18.5,1440
Kawasaki,Z750,,Naked bike,748,2012,104,In-line four,Liquid,6-speed,Chain,226,815,18.5,1440
Kawasaki,Z750 ABS,,Naked bike,748,2007,104,In-line four,Liquid,6-speed,Chain,203,815,18.5,1440
Kawasaki,Z750 ABS,,Naked bike,748,2008,,In-line four,Liquid,6-speed,Chain,208,815,18.5,1440
Kawasaki,Z750R,,Naked bike,748,2012,104,In-line four,Liquid,,Chain,,815,18.5,1440
Kawasaki,Z750R Black Edition,,Naked bike,748,2012,106,In-line four,Liquid,6-speed,Chain,,815,18.5,1440
Kawasaki,Z800,,Naked bike,806,2013,111,In-line four,Liquid,,Chain,,834,17,1445
Kawasaki,Z800,,Naked bike,806,2014,111,In-line four,Liquid,,Chain,,834,17,1445
Kawasaki,Z800,,Naked bike,806,2015,113,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800,,Naked bike,806,2017,113,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 ABS,,Naked bike,806,2015,113,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 ABS,,Naked bike,806,2016,113,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 ABS,,Naked bike,806,2017,113,In-line four,Liquid,6-speed,Chain,,833,17.03,1445
Kawasaki,Z800 E,,Naked bike,806,2013,93.9,In-line four,Liquid,,Chain,,834,17,1445
Kawasaki,Z800 E,,Naked bike,806,2014,93.9,In-line four,Liquid,,Chain,,834,17,1445
Kawasaki,Z800 E,,Naked bike,806,2016,46.9,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 E Version,,Naked bike,806,2015,95,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 E Version,,Naked bike,806,2017,95,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 E Version Performance,,Naked bike,806,2017,95,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 E Version SE,,Naked bike,806,2017,95,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 Performance,,Naked bike,806,2017,113,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z800 Sugomi,,Naked bike,806,2016,113,In-line four,Liquid,6-speed,Chain,,834,17,1445
Kawasaki,Z900,,Naked bike,948,2017,125,In-line four,Liquid,6-speed,Chain,,795,17,1450
Kawasaki,Z900,,Naked bike,948,2020,,In-line four,Liquid,6-speed,Chain,,800,17.03,1455
Kawasaki,Z900,,Naked bike,948,2021,,In-line four,Liquid,6-speed,Chain,,800,17.03,1455
Kawasaki,Z900,,Naked bike,948,2022,123,In-line four,Liquid,6-speed,Chain,212,800,17.03,1455
Kawasaki,Z900 (70 KW),,Naked bike,948,2019,,In-line four,Liquid,,Chain,,795,17.03,1450
Kawasaki,Z900 70KW,,Naked bike,948,2021,93.9,In-line four,Liquid,6-speed,Chain,,800,17.03,1455
Kawasaki,Z900 ABS,,Naked bike,948,2017,,In-line four,Liquid,6-speed,Chain,,795,17.03,1450
Kawasaki,Z900 ABS,,Naked bike,948,2018,,In-line four,Liquid,6-speed,Chain,,795,17.03,1450
Kawasaki,Z900 ABS,,Naked bike,948,2019,,In-line four,Liquid,6-speed,Chain,,795,17.03,1450
Kawasaki,Z900 Performance,,Naked bike,948,2021,123,In-line four,Liquid,6-speed,Chain,,820,17,1455
Kawasaki,Z900 SE,,Naked bike,948,2022,,In-line four,Liquid,6-speed,Chain,,800,17.03,1455
Kawasaki,Z900 SE Performance,,Naked bike,948,2022,125,In-line four,Liquid,6-speed,Chain,,820,17.03,1455
Kawasaki,Z900RS,,Naked bike,948,2018,110,In-line four,Liquid,6-speed,Chain,,835,17.03,1470
Kawasaki,Z900RS,,Naked bike,948,2019,110,In-line four,Liquid,6-speed,Chain,,800,17.03,1470
Kawasaki,Z900RS,,Classic,948,2020,110,In-line four,Liquid,6-speed,Chain,,836,17.03,1470
Kawasaki,Z900RS,,Classic,948,2021,110,In-line four,Liquid,6-speed,Chain,,836,17.03,1470
Kawasaki,Z900RS,,Classic,948,2022,110,In-line four,Liquid,6-speed,Chain,,836,17.03,1470
Kawasaki,Z900RS Black Edition,,Allround,948,2020,110,In-line four,Liquid,6-speed,Chain,,835,17,1470
Kawasaki,Z900RS Cafe,,Naked bike,948,2018,110,In-line four,Liquid,6-speed,Chain,,820,17.03,1470
Kawasaki,Z900RS Cafe,,Naked bike,948,2019,110,In-line four,Liquid,6-speed,Chain,,820,17.03,1470
Kawasaki,Z900RS Cafe,,Classic,948,2020,110,In-line four,Liquid,6-speed,Chain,,836,17.03,1470
Kawasaki,Z900RS Cafe,,Classic,948,2021,110,In-line four,Liquid,6-speed,Chain,,820,17.03,1470
Kawasaki,Z900RS Cafe,,Classic,948,2022,110,In-line four,Liquid,6-speed,Chain,,820,17.03,1470
Kawasaki,Z900RS SE,,Classic,948,2022,110,In-line four,Liquid,6-speed,Chain,,836,17.03,1470
Kawasaki,Zephyr 1100,,Naked bike,1062,1992,93,In-line four,Air,5-speed,Chain,,,19,
Kawasaki,Zephyr 1100,,Unspecified category,1062,1993,93,In-line four,,5-speed,,242,795,19,
Kawasaki,Zephyr 1100,,Naked bike,1062,1996,91,In-line four,,6-speed,Chain,242,795,,
Kawasaki,Zephyr 1100,,Naked bike,1062,1997,93,In-line four,,5-speed,Chain,252,795,,
Kawasaki,Zephyr 550,,Naked bike,553,1991,50,In-line four,Air,6-speed,Chain,,,15,
Kawasaki,Zephyr 550,,Naked bike,553,1992,50,In-line four,Air,6-speed,Chain,,,15,
Kawasaki,Zephyr 550,,Naked bike,553,1997,50,In-line four,,6-speed,Chain,179,795,,
Kawasaki,Zephyr 550,,Naked bike,553,1998,50,In-line four,Air,6-speed,Chain,177,795,,
Kawasaki,Zephyr 550,,Naked bike,553,1999,50,In-line four,Air,6-speed,Chain,,770,15,1435
Kawasaki,Zephyr 550 (reduced Effect),,Custom / cruiser,553,1991,27,In-line four,Air,6-speed,Chain,,,15,
Kawasaki,Zephyr 550 (reduced Effect),,Sport touring,553,1992,27,In-line four,Air,6-speed,Chain,,,15,
Kawasaki,Zephyr 750,,Naked bike,739,1991,72,In-line four,Air,5-speed,Chain,201,770,17,1455
Kawasaki,Zephyr 750,,Custom / cruiser,739,1992,72,In-line four,Air,5-speed,Chain,201,770,17,1455
Kawasaki,Zephyr 750,,Sport,739,1993,72,In-line four,Air,5-speed,Chain,201,780,17,1455
Kawasaki,Zephyr 750,,Sport,738,1994,72,In-line four,Air,5-speed,Chain,201,780,17,
Kawasaki,Zephyr 750,,Naked bike,738,1995,72,In-line four,Air,5-speed,Chain,201,780,,
Kawasaki,Zephyr 750,,Naked bike,738,1996,72,In-line four,Air,5-speed,Chain,201,780,,
Kawasaki,Zephyr 750,,Naked bike,739,1997,72,In-line four,,5-speed,Chain,201,780,,
Kawasaki,Zephyr 750,,Naked bike,738,1998,72,In-line four,Air,5-speed,Chain,201,780,,
Kawasaki,Zephyr 750,,Naked bike,739,1999,76,In-line four,Air,5-speed,Chain,,770,17,1455
Kawasaki,Zephyr 750 (reduced Effect #2),,Unspecified category,738,1991,27,In-line four,Air,5-speed,Chain,,,17,
Kawasaki,Zephyr 750 (reduced Effect #2),,Unspecified category,738,1992,27,In-line four,Air,5-speed,Chain,,,17,
Kawasaki,Zephyr 750 (reduced Effect),,Naked bike,739,1991,50,In-line four,Air,5-speed,Chain,,,17,
Kawasaki,Zephyr 750 (reduced Effect),,Naked bike,739,1992,50,In-line four,Air,5-speed,Chain,,,17,
Kawasaki,ZL 1000,,Classic,997,1987,110,In-line four,Liquid,6-speed,Shaft drive,,,18.5,
Kawasaki,ZL 1000,,Super motard,997,1988,110,In-line four,Liquid,6-speed,Shaft drive,,,18.5,
Kawasaki,ZL 1000,,Naked bike,997,1989,110,In-line four,Liquid,6-speed,Shaft drive,,,18.5,
Kawasaki,ZL 1000 (reduced Effect),,Sport touring,997,1987,100,In-line four,Liquid,6-speed,Shaft drive,,,18.5,
Kawasaki,ZL 1000 (reduced Effect),,Unspecified category,997,1988,100,In-line four,Liquid,6-speed,Shaft drive,,,18.5,
Kawasaki,ZL 1000 (reduced Effect),,Custom / cruiser,997,1989,100,In-line four,Liquid,6-speed,Shaft drive,,,18.5,
Kawasaki,ZL 400 Eliminator,,Custom / cruiser,398,1986,,In-line four,Liquid,5-speed,Shaft drive,,,,
Kawasaki,ZL 600,,Sport touring,592,1986,74,In-line four,Liquid,6-speed,Shaft drive,,,12,
Kawasaki,ZL 600,,Classic,592,1987,74,In-line four,Liquid,6-speed,Shaft drive,,,12,
Kawasaki,ZL 600,,Custom / cruiser,592,1988,74,In-line four,Liquid,6-speed,Shaft drive,,,12,
Kawasaki,ZL 600,,Custom / cruiser,592,1989,74,In-line four,Liquid,6-speed,Shaft drive,,,12,
Kawasaki,ZL 600 (reduced Effect #2),,Naked bike,592,1988,27,In-line four,Liquid,6-speed,Shaft drive,,,12,
Kawasaki,ZL 600 (reduced Effect #2),,Unspecified category,592,1989,27,In-line four,Liquid,6-speed,Shaft drive,,,12,
Kawasaki,ZL 600 (reduced Effect),,Unspecified category,592,1988,50,In-line four,Liquid,6-speed,Shaft drive,,,12,
Kawasaki,ZL 600 (reduced Effect),,Unspecified category,592,1989,50,In-line four,Liquid,6-speed,Shaft drive,,,12,
Kawasaki,ZL 600 Eliminator,,Custom / cruiser,592,1995,61,In-line four,Liquid,6-speed,,200,715,,
Kawasaki,ZL 600 Eliminator,,Custom / cruiser,592,1996,61,In-line four,Liquid,6-speed,,200,715,,
Kawasaki,ZL 600 Eliminator,,Custom / cruiser,593,1997,61,In-line four,Liquid,6-speed,Shaft drive,200,715,,
Kawasaki,ZL 900 Eliminator,,Custom / cruiser,908,1985,105,In-line four,Liquid,6-speed,Shaft drive,238,745,11,1595
Kawasaki,ZN 700 LTD Shaft,,Classic,694,1984,74,In-line four,Air,5-speed,Shaft drive,217,755,13.9,1510
Kawasaki,ZR 550B Zephyr,,Naked bike,553,1990,50,In-line four,Oil & air,6-speed,Chain,179,,14.98,
Kawasaki,ZR-7,,Naked bike,738,1999,75,In-line four,Air,5-speed,Chain,210,,,
Kawasaki,ZR-7,,Naked bike,738,2000,76,In-line four,Air,5-speed,Chain,202,815,,
Kawasaki,ZR-7,,Allround,739,2001,76,In-line four,,5-speed,Chain,205,815,22,1455
Kawasaki,ZR-7,,Naked bike,739,2002,76,In-line four,,5-speed,Chain,202,,,
Kawasaki,ZR-7,,Naked bike,738,2003,75.1,In-line four,,,,202,800,22,1455
Kawasaki,ZR-7 S,,Allround,739,2001,76,In-line four,,5-speed,Chain,213,815,22,1455
Kawasaki,ZR-7 S,,Allround,739,2002,76,In-line four,,5-speed,Chain,210,,,
Kawasaki,ZR-7S,,Allround,738,2003,75.1,In-line four,Oil & air,5-speed,Chain,202,800,22,1455
Kawasaki,ZRX 1100,,Naked bike,1052,1997,110,In-line four,Liquid,5-speed,Chain,222,800,,
Kawasaki,ZRX 1100,,Naked bike,1052,1998,110,In-line four,Liquid,6-speed,Chain,221,800,,
